transaction_id,account_id,amount,transaction_type,transaction_date,currency
1,1102,410.91,credit,2024-01-01 00:00:00.000000,USD
2,1435,537.76,credit,2024-01-01 00:52:33.915391,USD
3,1860,347.82,credit,2024-01-01 01:45:07.830783,EUR
4,1270,200.32,credit,2024-01-01 02:37:41.746174,USD
5,1106,844.08,credit,2024-01-01 03:30:15.661566,USD
6,1071,235.47,credit,2024-01-01 04:22:49.576957,USD
7,1700,352.11,credit,2024-01-01 05:15:23.492349,USD
8,1020,1099.18,credit,2024-01-01 06:07:57.407740,EUR
9,1614,337.55,debit,2024-01-01 07:00:31.323132,EUR
10,1121,137.12,debit,2024-01-01 07:53:05.238523,USD
11,1466,,credit,2024-01-01 08:45:39.153915,EUR
12,1214,448.44,debit,2024-01-01 09:38:13.069306,USD
13,1330,1035.46,debit,2024-01-01 10:30:46.984698,USD
14,1458,213.71,credit,2024-01-01 11:23:20.900090,USD
15,1087,1506.02,debit,2024-01-01 12:15:54.815481,USD
16,1372,1813.4,debit,2024-01-01 13:08:28.730873,USD
17,1099,1489.44,credit,2024-01-01 14:01:02.646264,USD
18,1871,1070.33,debit,2024-01-01 14:53:36.561656,USD
19,1663,1722.73,debit,2024-01-01 15:46:10.477047,USD
20,1130,,credit,2024-01-01 16:38:44.392439,GBP
21,1661,31.0,credit,2024-01-01 17:31:18.307830,USD
22,1308,794.24,debit,2024-01-01 18:23:52.223222,EUR
23,1769,1703.39,debit,2024-01-01 19:16:26.138613,USD
24,1343,698.26,credit,2024-01-01 20:09:00.054005,EUR
25,1491,80.08,credit,2024-01-01 21:01:33.969396,USD
26,1413,1494.9,debit,2024-01-01 21:54:07.884788,USD
27,1805,1606.06,credit,2024-01-01 22:46:41.800180,USD
28,1385,329.58,debit,2024-01-01 23:39:15.715571,USD
29,1191,1079.31,credit,2024-01-02 00:31:49.630963,EUR
30,1955,391.99,credit,2024-01-02 01:24:23.546354,GBP
31,1276,1441.28,credit,2024-01-02 02:16:57.461746,USD
32,1160,550.39,credit,2024-01-02 03:09:31.377137,USD
33,1459,639.27,credit,2024-01-02 04:02:05.292529,USD
34,1313,1691.49,credit,2024-01-02 04:54:39.207920,USD
35,1021,957.88,debit,2024-01-02 05:47:13.123312,GBP
36,1252,1342.81,credit,2024-01-02 06:39:47.038703,USD
37,1747,810.72,debit,2024-01-02 07:32:20.954095,USD
38,1856,603.03,credit,2024-01-02 08:24:54.869486,USD
39,1560,1254.7,credit,2024-01-02 09:17:28.784878,USD
40,1474,318.17,credit,2024-01-02 10:10:02.700270,EUR
41,1058,752.27,credit,2024-01-02 11:02:36.615661,USD
42,1510,425.98,debit,2024-01-02 11:55:10.531053,USD
43,1681,1394.63,debit,2024-01-02 12:47:44.446444,USD
44,1475,1888.98,credit,2024-01-02 13:40:18.361836,USD
45,1699,1991.07,debit,2024-01-02 14:32:52.277227,USD
46,1975,906.05,credit,2024-01-02 15:25:26.192619,GBP
47,1782,512.54,credit,2024-01-02 16:18:00.108010,GBP
48,1189,891.23,credit,2024-01-02 17:10:34.023402,GBP
49,1957,1696.07,debit,2024-01-02 18:03:07.938793,GBP
50,1686,419.95,credit,2024-01-02 18:55:41.854185,USD
51,1957,1904.67,debit,2024-01-02 19:48:15.769576,USD
52,1562,690.31,credit,2024-01-02 20:40:49.684968,USD
53,1875,1971.75,credit,2024-01-02 21:33:23.600360,EUR
54,1566,1678.83,debit,2024-01-02 22:25:57.515751,EUR
55,1243,1619.06,credit,2024-01-02 23:18:31.431143,USD
56,1831,642.63,debit,2024-01-03 00:11:05.346534,GBP
57,1504,27.47,debit,2024-01-03 01:03:39.261926,USD
58,1130,770.44,debit,2024-01-03 01:56:13.177317,USD
59,1484,610.6,credit,2024-01-03 02:48:47.092709,USD
60,1818,84.42,credit,2024-01-03 03:41:21.008100,USD
61,1646,1015.68,debit,2024-01-03 04:33:54.923492,USD
62,1020,812.03,credit,2024-01-03 05:26:28.838883,USD
63,1840,1272.77,credit,2024-01-03 06:19:02.754275,EUR
